Id,Name,Link,Ingredients,Allergensraw,Allergensmapped,helper column (milk),helper column (egg),helper column (peanut),helper column (tree nut),helper column (wheat),helper column (soy),helper column (fish),Allergensmapped
1,Perly,https://world.openfoodfacts.org/product/6111242100992,"milk cream, cream, sugar, banana, bacteria","banana,milk",,milk,,,,,,,milk
2,Milk,https://world.openfoodfacts.org/product/6111266962187,"pasteurized semiskimmed fresh milk,  fat content",milk,,milk,,,,,,,milk
3,Fromage blanc nature,https://world.openfoodfacts.org/product/6111246721261,"lactic cultures,rennet,salt",milk,,milk,,,,,,,milk
4,JAOUDA UHT milk,https://world.openfoodfacts.org/product/6111242101180,whole milk,milk,,milk,,,,,,,milk
5,Marmite Yeast Extract,https://world.openfoodfacts.org/product/50184453,"yeast extract, barley, wheat, oats, rye, salt, vegetable juice concentrate, thiamin, riboflavin, niacin, vitamin b, folic acid, natural flavouring, celery","celery,gluten",,,,,,wheat,,,wheat
6,PRINCE Chocolate Flavor,https://world.openfoodfacts.org/product/7622210449283,"wheat flour,whole wheat flour,sugar,vegetable oils palm, rapeseed,lowfat cocoa powder,glucose syrup,wheat starch,raising agents ammonium carbonates, sodium carbonates,emulsifier soy lecithins,salt,creamed milk powder,milk protein concentrate, flavors","eggs,gluten,milk,soybeans",,milk,egg,,,wheat,soy,,"milk, egg, wheat, soy"
7,BE NUTS Peanut Spread Andros,https://world.openfoodfacts.org/product/3608580124047/be-nuts-pate-a-tartiner-cacahuete-andros,"roasted peanuts , sugar,cocoa butter,sunflower oil,salt,vanilla extract,emulsifier sunflower lecithin",peanuts,,,,peanut,tree nut,,,,"peanut, tree nut"
8,Tonik,https://world.openfoodfacts.org/product/6111031005064/tonik-%D8%B9%D8%B1%D8%A8%D9%8A,"wheat flour,sugar,nonhydrogenated vegetable oil palm oil,milk filtrate,cocoa powder,emulsifier with low cocoa content , soy lecithin,raising agent ,artificial sweetener vanillin,salt","gluten,milk,soybeans",,milk,,,,wheat,soy,,"milk, wheat, soy"
9,Original recipe mayonnaise,https://world.openfoodfacts.org/product/6111184004129/mayonnaise-original-recipe-star,"soybean oil,water,table vinegar,egg yolks,mustard,salt,stabilizers e, e,preservatives e, e, antioxidant e","eggs, mustard, soybeans",,,egg,,,,soy,,"egg, soy"
10,Sourdough White Ciabattin,https://world.openfoodfacts.org/product/5025125000006,"wheat flour fortified with calcium carbonate, iron, niacin, thiamin, water, salt, fermented wheat flour",gluten,,,,,,wheat,,,wheat
11,Chocolate,https://world.openfoodfacts.org/product/20995553,"cocoa mass, lowfat cocoa powder, cocoa butter, sugar, emulsifier lecithin soy, vanilla extract","soybeans, milk, nuts",,milk,,,tree nut,,soy,,"milk, tree nut, soy"
12,Nutella,https://world.openfoodfacts.org/product/3017620422003,"sugar, palm oil, hazelnuts, lowfat cocoa, creamed milk powder, milk whey powder, emulsifiers soy lecithins, vanillin","milk,nuts,soybeans",,milk,,,tree nut,,soy,,"milk, tree nut, soy"
13,Almond   ,https://world.openfoodfacts.org/product/20724696,shelled almonds,nuts,,,,,tree nut,,,,tree nut
14,Cashewkerne,https://world.openfoodfacts.org/product/20267605,cashews,nuts,,,,,tree nut,,,,tree nut
15,Rye & Mixed Seed Sourdough Bread,https://world.openfoodfacts.org/product/5057967395088/rye-mixed-seed-sourdough-bread-tesco,"wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, water, wholemeal wheat flour, malted wheat flakes, rye flour, millet seed , golden linseed , sunflower seed , rapeseed oil, fermented wheat flour, salt, poppy seeds , molasses, malted wheat flour, flour treatment agent ascorbic acid, rice flour",gluten,,,,,,wheat,,,wheat
16,Henrys,https://world.openfoodfacts.org/product/3362600011044,"wheat flour, sugar, vegetable fat, inverted sugar, raising agents ammonium bicarbonate, sodium bicarbonate, salt, flavor",gluten,,,,,,wheat,,,wheat
17,Creamy Cheese Spread,https://world.openfoodfacts.org/product/6111242100305,"fresh milk, sugar, creamed milk powder, thickener starch, cream, flavor, selected lactic cultures, fat content",milk,,milk,,,,,,,milk
18,Spreadable Slightly Salted,https://world.openfoodfacts.org/product/5740900404465,"butter  milk, rapeseed oil, water, lactic culture milk, salt",milk,,milk,,,,,,,milk
19,Jamila Yogurt,https://world.openfoodfacts.org/product/6111032006619,"milk without cream, sugar, cream, milk powder without cream, milk proteins, dairy fat, natural coloring",milk,,milk,,,,,,,milk
